watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
26,LR,1,50,4,-60.25,-58,-62,4
26,LR,1,50,6,-58.6666666666667,-56,-62,6
26,LR,0,50,1,-59,-59,-59,0
26,LR,1,50,10,-57.6,-55,-60,5
26,LR,1,50,9,-57.8888888888889,-55,-60,5
26,LR,1,50,3,-55.3333333333333,-54,-56,2
26,LR,1,50,10,-55.8,-55,-56,1
26,LR,1,50,4,-55.75,-55,-56,1
26,LR,1,50,4,-54.5,-54,-55,1
26,LR,0,50,2,-55,-54,-56,2
26,LR,1,50,4,-57,-56,-58,2
26,LR,0,50,1,-54,-54,-54,0
26,LR,1,50,3,-59,-57,-60,3
26,LR,1,50,5,-58,-57,-60,3
26,LR,1,50,5,-63.2,-59,-66,7
26,LR,1,50,8,-62.5,-61,-64,3
26,LR,1,50,3,-62.3333333333333,-62,-63,1
26,LR,1,50,4,-62,-61,-63,2
26,LR,1,50,10,-61.9,-61,-63,2
26,LR,1,50,5,-62,-61,-63,2
26,LR,1,50,5,-61.2,-61,-62,1
26,LR,1,50,7,-60.8571428571429,-60,-62,2
26,LR,1,50,7,-60.7142857142857,-60,-62,2
26,LR,1,50,10,-59.6,-58,-61,3
26,LR,1,50,3,-60.3333333333333,-60,-61,1
26,LR,0,50,2,-59,-58,-60,2
26,LR,0,50,1,-58,-58,-58,0
26,LR,1,50,9,-58.5555555555556,-58,-60,2
26,LR,1,50,3,-58.6666666666667,-58,-60,2
26,LR,1,50,6,-58.6666666666667,-58,-60,2
26,LR,1,50,3,-58.3333333333333,-58,-59,1
26,LR,1,50,8,-58.125,-57,-59,2
26,LR,1,50,7,-58.7142857142857,-57,-60,3
26,LR,1,50,9,-59.2222222222222,-58,-60,2
26,LR,1,50,3,-58.6666666666667,-58,-60,2
31,RL,0,100,1,-64,-64,-64,0
31,RL,1,100,9,-73.3333333333333,-66,-87,21
31,RL,1,100,4,-74.5,-71,-78,7
31,RL,1,100,3,-74,-66,-79,13
31,RL,1,100,7,-74.8571428571429,-71,-79,8
31,RL,1,100,6,-74.1666666666667,-71,-77,6
31,RL,1,100,6,-73.1666666666667,-71,-77,6
31,RL,0,100,1,-73,-73,-73,0
31,RL,0,100,1,-71,-71,-71,0
31,RL,1,100,3,-70.3333333333333,-67,-72,5
31,RL,0,100,1,-77,-77,-77,0
31,RL,1,100,9,-75.3333333333333,-67,-91,24
31,RL,1,100,6,-76.5,-67,-91,24
31,RL,1,100,5,-74.2,-68,-79,11
31,RL,0,100,2,-78.5,-78,-79,1
31,RL,1,100,9,-70,-66,-76,10
31,RL,0,100,1,-72,-72,-72,0
31,RL,1,100,5,-68.6,-64,-76,12
31,RL,1,100,10,-73.3,-64,-91,27
