watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,8,-66.375,-66,-68,2
31,RL,1,50,9,-66.3333333333333,-65,-68,3
31,RL,1,50,8,-66.375,-65,-68,3
31,RL,1,50,6,-66.3333333333333,-65,-68,3
31,RL,1,50,3,-67,-66,-68,2
31,RL,1,50,6,-66.3333333333333,-65,-68,3
31,RL,1,50,6,-66.3333333333333,-65,-68,3
31,RL,1,50,7,-66.4285714285714,-65,-68,3
31,RL,1,50,7,-66.5714285714286,-66,-68,2
31,RL,1,50,4,-66.75,-66,-68,2
31,RL,1,50,4,-66.75,-66,-68,2
31,RL,0,50,2,-67.5,-67,-68,1
31,RL,1,50,9,-65.2222222222222,-63,-68,5
31,RL,1,50,3,-67,-66,-68,2
31,RL,0,50,2,-67,-66,-68,2
31,RL,1,50,7,-64.5714285714286,-63,-66,3
31,RL,1,50,4,-64,-63,-66,3
31,RL,0,50,2,-63.5,-63,-64,1
31,RL,1,50,5,-65.6,-63,-68,5
31,RL,1,50,4,-66.25,-64,-68,4
31,RL,0,50,2,-66.5,-66,-67,1
31,RL,1,50,4,-68.5,-66,-73,7
31,RL,1,50,4,-66,-66,-66,0
31,RL,1,50,3,-66,-66,-66,0
31,RL,1,50,5,-70.8,-66,-76,10
31,RL,1,50,10,-71.7,-66,-82,16
31,RL,1,50,4,-72.25,-67,-76,9
31,RL,1,50,5,-70.2,-66,-76,10
31,RL,1,50,4,-68.75,-66,-73,7
31,RL,1,50,6,-72.5,-66,-82,16
31,RL,1,50,5,-73.8,-69,-82,13
31,RL,1,50,6,-74.5,-72,-82,10
31,RL,0,50,2,-77,-72,-82,10
31,RL,1,50,10,-71.8,-67,-82,15
31,RL,1,50,8,-71.125,-68,-75,7
31,RL,1,50,9,-70.4444444444444,-67,-75,8
31,RL,1,50,5,-70.2,-68,-72,4
31,RL,1,50,6,-69.3333333333333,-67,-72,5
31,RL,1,50,5,-69.6,-67,-72,5
31,RL,1,50,8,-69,-67,-72,5
31,RL,1,50,3,-69.6666666666667,-67,-72,5
31,RL,0,50,2,-68.5,-67,-70,3
31,RL,1,50,9,-68.2222222222222,-67,-72,5
31,RL,1,50,5,-67.8,-67,-69,2
