watch,combination,risk,dist,samples,rawRSS_1,rawRSS_2,rawRSS_3,rawRSS_4,rawRSS_5,rawRSS_6,rawRSS_7,rawRSS_8,rawRSS_9,rawRSS_10,meanRSS,stdRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,10,-70,-70,-69,-68,-70,-69,-72,-72,-67,-67,-69.4,1.7763883459299,-67,-72,5
31,RL,1,50,7,-70,-69,-68,-70,-69,-72,-72,,,,-70,1.52752523165195,-68,-72,4
31,RL,1,50,8,-69,-68,-70,-69,-72,-72,-67,-67,,,-69.25,1.98206241793023,-67,-72,5
31,RL,0,50,1,-68,,,,,,,,,,-68,0,-68,-68,0
31,RL,1,50,5,-70,-69,-72,-72,-67,,,,,,-70,2.12132034355964,-67,-72,5
31,RL,1,50,3,-69,-72,-72,,,,,,,,-71,1.73205080756888,-69,-72,3
31,RL,1,50,10,-72,-72,-67,-67,-67,-69,-67,-70,-70,-67,-68.8,2.0976176963403,-67,-72,5
31,RL,1,50,5,-72,-67,-67,-67,-69,,,,,,-68.4,2.19089023002066,-67,-72,5
31,RL,0,50,1,-67,,,,,,,,,,-67,0,-67,-67,0
31,RL,1,50,7,-67,-67,-69,-67,-70,-70,-67,,,,-68.1428571428571,1.4638501094228,-67,-70,3
31,RL,1,50,5,-67,-69,-67,-70,-70,,,,,,-68.6,1.51657508881031,-67,-70,3
31,RL,1,50,3,-69,-67,-70,,,,,,,,-68.6666666666667,1.52752523165195,-67,-70,3
31,RL,1,50,7,-70,-70,-67,-71,-70,-70,-68,,,,-69.4285714285714,1.39727626201154,-67,-71,4
31,RL,1,50,9,-70,-67,-71,-70,-70,-68,-70,-67,-67,,-68.8888888888889,1.61589328580544,-67,-71,4
31,RL,0,50,2,-67,-71,,,,,,,,,-69,2.82842712474619,-67,-71,4
31,RL,0,50,2,-70,-68,,,,,,,,,-69,1.4142135623731,-68,-70,2
31,RL,1,50,10,-68,-70,-67,-67,-70,-69,-67,-66,-68,-68,-68,1.33333333333333,-66,-70,4
31,RL,0,50,2,-67,-67,,,,,,,,,-67,0,-67,-67,0
31,RL,1,50,3,-67,-70,-69,,,,,,,,-68.6666666666667,1.52752523165195,-67,-70,3
31,RL,1,50,4,-70,-69,-67,-66,,,,,,,-68,1.82574185835055,-66,-70,4
31,RL,1,50,6,-69,-67,-66,-68,-68,-70,,,,,-68,1.4142135623731,-66,-70,4
31,RL,1,50,4,-67,-66,-68,-68,,,,,,,-67.25,0.957427107756338,-66,-68,2
31,RL,1,50,10,-66,-68,-68,-70,-67,-72,-67,-67,-67,-68,-68,1.76383420737639,-66,-72,6
31,RL,1,50,9,-70,-67,-72,-67,-67,-67,-68,-68,-69,,-68.3333333333333,1.73205080756888,-67,-72,5
31,RL,0,50,1,-72,,,,,,,,,,-72,0,-72,-72,0
31,RL,0,50,1,-67,,,,,,,,,,-67,0,-67,-67,0
31,RL,1,50,4,-67,-67,-68,-68,,,,,,,-67.5,0.577350269189626,-67,-68,1
31,RL,1,50,7,-67,-68,-68,-69,-68,-68,-67,,,,-67.8571428571429,0.690065559342354,-67,-69,2
31,RL,1,50,9,-68,-68,-69,-68,-68,-67,-66,-66,-68,,-67.5555555555556,1.0137937550497,-66,-69,3
31,RL,1,50,4,-68,-69,-68,-68,,,,,,,-68.25,0.5,-68,-69,1
31,RL,1,50,6,-69,-68,-68,-67,-66,-66,,,,,-67.3333333333333,1.211060141639,-66,-69,3
31,RL,1,50,4,-68,-67,-66,-66,,,,,,,-66.75,0.957427107756338,-66,-68,2
31,RL,1,50,8,-67,-66,-66,-68,-69,-67,-68,-67,,,-67.25,1.03509833901353,-66,-69,3
31,RL,0,50,2,-66,-68,,,,,,,,,-67,1.4142135623731,-66,-68,2
31,RL,0,50,1,-68,,,,,,,,,,-68,0,-68,-68,0
31,RL,1,50,5,-69,-67,-68,-67,-68,,,,,,-67.8,0.836660026534076,-67,-69,2
31,RL,1,50,10,-67,-68,-67,-68,-68,-70,-67,-66,-70,-69,-68,1.33333333333333,-66,-70,4
31,RL,0,50,1,-68,,,,,,,,,,-68,0,-68,-68,0
31,RL,1,50,7,-68,-68,-70,-67,-66,-70,-69,,,,-68.2857142857143,1.49602648308619,-66,-70,4
31,RL,1,50,5,-70,-67,-66,-70,-69,,,,,,-68.4,1.81659021245849,-66,-70,4
31,RL,1,50,4,-66,-70,-69,-67,,,,,,,-68,1.82574185835055,-66,-70,4
31,RL,1,50,10,-69,-67,-69,-67,-67,-67,-66,-66,-68,-68,-67.4,1.07496769977314,-66,-69,3
31,RL,1,50,6,-69,-67,-67,-67,-66,-66,,,,,-67,1.09544511501033,-66,-69,3
31,RL,1,50,3,-67,-67,-67,,,,,,,,-67,0,-67,-67,0
31,RL,1,50,8,-66,-66,-68,-68,-70,-68,-65,-65,,,-67,1.77281052085584,-65,-70,5
31,RL,0,50,1,-66,,,,,,,,,,-66,0,-66,-66,0
31,RL,1,50,7,-68,-68,-70,-68,-65,-65,-67,,,,-67.2857142857143,1.79947082168487,-65,-70,5
31,RL,0,50,1,-68,,,,,,,,,,-68,0,-68,-68,0
31,RL,1,50,10,-68,-65,-65,-67,-67,-68,-68,-70,-70,-69,-67.7,1.76698110409314,-65,-70,5
31,RL,0,50,1,-65,,,,,,,,,,-65,0,-65,-65,0
31,RL,1,50,8,-65,-67,-67,-68,-68,-70,-70,-69,,,-68,1.69030850945703,-65,-70,5
31,RL,1,50,7,-67,-67,-68,-68,-70,-70,-69,,,,-68.4285714285714,1.2724180205607,-67,-70,3
31,RL,0,50,1,-67,,,,,,,,,,-67,0,-67,-67,0
31,RL,1,50,5,-68,-68,-70,-70,-69,,,,,,-69,1,-68,-70,2
31,RL,1,50,3,-68,-70,-70,,,,,,,,-69.3333333333333,1.15470053837925,-68,-70,2
31,RL,1,50,7,-69,-66,-68,-68,-67,-72,-66,,,,-68,2.08166599946613,-66,-72,6
31,RL,1,50,4,-66,-68,-68,-67,,,,,,,-67.25,0.957427107756338,-66,-68,2
31,RL,1,50,7,-68,-68,-67,-72,-66,-66,-66,,,,-67.5714285714286,2.14919697074224,-66,-72,6
31,RL,1,50,6,-68,-67,-72,-66,-66,-66,,,,,-67.5,2.34520787991171,-66,-72,6
31,RL,0,50,1,-67,,,,,,,,,,-67,0,-67,-67,0
31,RL,0,50,2,-72,-66,,,,,,,,,-69,4.24264068711928,-66,-72,6
31,RL,1,50,9,-66,-66,-66,-69,-67,-68,-68,-66,-66,,-66.8888888888889,1.16666666666667,-66,-69,3
31,RL,0,50,2,-66,-66,,,,,,,,,-66,0,-66,-66,0
31,RL,0,50,2,-66,-69,,,,,,,,,-67.5,2.12132034355964,-66,-69,3
31,RL,1,50,6,-69,-67,-68,-68,-66,-66,,,,,-67.3333333333333,1.211060141639,-66,-69,3
31,RL,1,50,5,-67,-68,-68,-66,-66,,,,,,-67,1,-66,-68,2
31,RL,1,50,7,-68,-68,-66,-66,-68,-66,-66,,,,-66.8571428571429,1.0690449676497,-66,-68,2
31,RL,1,50,8,-66,-66,-70,-70,-67,-67,-68,-68,,,-67.75,1.58113883008419,-66,-70,4
31,RL,1,50,9,-66,-70,-70,-67,-67,-68,-68,-69,-69,,-68.2222222222222,1.39443337755679,-66,-70,4
31,RL,1,50,10,-70,-70,-67,-67,-68,-68,-69,-69,-67,-68,-68.3,1.15950180872841,-67,-70,3
31,RL,1,50,5,-70,-67,-67,-68,-68,,,,,,-68,1.22474487139159,-67,-70,3
31,RL,1,50,4,-67,-67,-68,-68,,,,,,,-67.5,0.577350269189626,-67,-68,1
31,RL,0,50,2,-67,-68,,,,,,,,,-67.5,0.707106781186548,-67,-68,1
31,RL,1,50,8,-68,-69,-69,-67,-68,-73,-73,-76,,,-70.375,3.20434972230828,-67,-76,9
31,RL,1,50,7,-69,-69,-67,-68,-73,-73,-76,,,,-70.7142857142857,3.30223589477825,-67,-76,9
31,RL,1,50,3,-69,-67,-68,,,,,,,,-68,1,-67,-69,2
31,RL,1,50,3,-68,-73,-73,,,,,,,,-71.3333333333333,2.88675134594813,-68,-73,5
31,RL,0,50,1,-73,,,,,,,,,,-73,0,-73,-73,0
31,RL,1,50,3,-73,-76,-67,,,,,,,,-72,4.58257569495584,-67,-76,9
31,RL,1,50,7,-76,-67,-70,-70,-72,-68,-72,,,,-70.7142857142857,2.98408476836063,-67,-76,9
31,RL,1,50,3,-67,-70,-70,,,,,,,,-69,1.73205080756888,-67,-70,3
31,RL,1,50,4,-70,-70,-72,-68,,,,,,,-70,1.63299316185545,-68,-72,4
31,RL,1,50,5,-70,-72,-68,-72,-73,,,,,,-71,2,-68,-73,5
31,RL,1,50,4,-72,-68,-72,-73,,,,,,,-71.25,2.21735578260835,-68,-73,5
31,RL,1,50,4,-68,-72,-73,-73,,,,,,,-71.5,2.38047614284762,-68,-73,5
31,RL,1,50,5,-72,-73,-73,-73,-69,,,,,,-72,1.73205080756888,-69,-73,4
