watch,combination,risk,dist,samples,rawRSS_1,rawRSS_2,rawRSS_3,rawRSS_4,rawRSS_5,rawRSS_6,rawRSS_7,rawRSS_8,rawRSS_9,rawRSS_10,meanRSS,stdRSS,maxRSS,minRSS,rangeRSS
31,LR,1,50,3,-60,-62,-60,,,,,,,,-60.6666666666667,1.15470053837925,-60,-62,2
31,LR,0,50,1,-66,,,,,,,,,,-66,0,-66,-66,0
31,LR,0,50,2,-62,-62,,,,,,,,,-62,0,-62,-62,0
31,LR,1,50,10,-59,-61,-62,-59,-59,-60,-59,-60,-59,-60,-59.8,1.03279555898864,-59,-62,3
31,LR,0,50,1,-58,,,,,,,,,,-58,0,-58,-58,0
31,LR,1,50,3,-58,-58,-58,,,,,,,,-58,0,-58,-58,0
31,LR,1,50,7,-60,-59,-60,-60,-60,-59,-58,,,,-59.4285714285714,0.786795792469443,-58,-60,2
31,LR,0,50,2,-60,-59,,,,,,,,,-59.5,0.707106781186548,-59,-60,1
31,LR,1,50,4,-60,-60,-60,-62,,,,,,,-60.5,1,-60,-62,2
31,LR,1,50,3,-60,-62,-61,,,,,,,,-61,1,-60,-62,2
31,LR,1,50,3,-65,-65,-65,,,,,,,,-65,0,-65,-65,0
31,LR,1,50,8,-65,-62,-62,-61,-62,-60,-59,-60,,,-61.375,1.84681192483541,-59,-65,6
31,LR,0,50,1,-60,,,,,,,,,,-60,0,-60,-60,0
31,LR,0,50,2,-60,-59,,,,,,,,,-59.5,0.707106781186548,-59,-60,1
31,LR,1,50,5,-59,-60,-60,-61,-59,,,,,,-59.8,0.836660026534076,-59,-61,2
31,LR,1,50,6,-62,-62,-62,-62,-61,-59,,,,,-61.3333333333333,1.211060141639,-59,-62,3
31,LR,0,50,1,-61,,,,,,,,,,-61,0,-61,-61,0
31,LR,1,50,9,-64,-61,-60,-62,-60,-60,-59,-59,-61,,-60.6666666666667,1.58113883008419,-59,-64,5
31,LR,0,50,1,-62,,,,,,,,,,-62,0,-62,-62,0
31,LR,1,50,6,-63,-61,-63,-60,-62,-58,,,,,-61.1666666666667,1.94079021706795,-58,-63,5
31,LR,1,50,5,-59,-61,-58,-58,-58,,,,,,-58.8,1.30384048104053,-58,-61,3
31,LR,1,50,8,-58,-58,-58,-58,-61,-59,-57,-57,,,-58.25,1.28173988892331,-57,-61,4
31,LR,1,50,6,-57,-57,-57,-57,-56,-56,,,,,-56.6666666666667,0.516397779494322,-56,-57,1
31,LR,1,50,9,-57,-57,-58,-58,-58,-56,-56,-57,-57,,-57.1111111111111,0.781735959970572,-56,-58,2
31,LR,1,50,10,-58,-58,-58,-56,-56,-57,-57,-57,-58,-58,-57.3,0.823272602348564,-56,-58,2
31,LR,1,50,4,-57,-58,-58,-59,,,,,,,-58,0.816496580927726,-57,-59,2
31,LR,1,50,9,-58,-57,-56,-56,-56,-61,-62,-58,-58,,-58,2.17944947177034,-56,-62,6
31,LR,0,50,2,-56,-56,,,,,,,,,-56,0,-56,-56,0
31,LR,1,50,7,-58,-58,-58,-59,-63,-60,-59,,,,-59.2857142857143,1.79947082168487,-58,-63,5
31,LR,0,50,1,-59,,,,,,,,,,-59,0,-59,-59,0
31,LR,1,50,4,-61,-67,-68,-68,,,,,,,-66,3.36650164612069,-61,-68,7
31,LR,1,50,10,-64,-64,-64,-62,-62,-62,-62,-63,-63,-63,-62.9,0.875595035770913,-62,-64,2
31,LR,1,50,6,-62,-62,-63,-63,-63,-62,,,,,-62.5,0.547722557505166,-62,-63,1
31,LR,1,50,8,-63,-62,-63,-63,-63,-62,-64,-63,,,-62.875,0.640869944461656,-62,-64,2
31,LR,1,50,8,-62,-64,-63,-63,-62,-62,-63,-63,,,-62.75,0.707106781186548,-62,-64,2
31,LR,1,50,9,-64,-63,-63,-62,-62,-63,-63,-63,-62,,-62.7777777777778,0.666666666666667,-62,-64,2
31,LR,1,50,5,-63,-62,-62,-63,-63,,,,,,-62.6,0.547722557505166,-62,-63,1
31,LR,1,50,7,-63,-63,-63,-62,-61,-61,-61,,,,-62,1,-61,-63,2
31,LR,1,50,9,-63,-62,-61,-61,-61,-62,-61,-61,-61,,-61.4444444444444,0.726483157256779,-61,-63,2
31,LR,1,50,8,-62,-61,-61,-61,-62,-61,-61,-61,,,-61.25,0.462910049886276,-61,-62,1
31,LR,0,50,1,-61,,,,,,,,,,-61,0,-61,-61,0
31,LR,1,50,3,-63,-62,-62,,,,,,,,-62.3333333333333,0.577350269189626,-62,-63,1
31,LR,1,50,9,-62,-61,-60,-59,-60,-61,-60,-61,-59,,-60.3333333333333,1,-59,-62,3
31,LR,1,50,5,-61,-60,-59,-60,-61,,,,,,-60.2,0.836660026534076,-59,-61,2
31,LR,1,50,6,-60,-61,-60,-61,-59,-60,,,,,-60.1666666666667,0.752772652709081,-59,-61,2
31,LR,1,50,10,-60,-60,-60,-61,-59,-60,-59,-59,-59,-59,-59.6,0.699205898780101,-59,-61,2
31,LR,0,50,2,-59,-59,,,,,,,,,-59,0,-59,-59,0
31,LR,1,50,10,-61,-59,-59,-59,-59,-60,-60,-61,-60,-60,-59.8,0.788810637746615,-59,-61,2
31,LR,0,50,1,-59,,,,,,,,,,-59,0,-59,-59,0
31,LR,1,50,6,-60,-60,-61,-60,-60,-60,,,,,-60.1666666666667,0.408248290463863,-60,-61,1
31,LR,0,50,2,-59,-60,,,,,,,,,-59.5,0.707106781186548,-59,-60,1
31,LR,1,50,3,-59,-61,-59,,,,,,,,-59.6666666666667,1.15470053837925,-59,-61,2
31,LR,0,50,1,-60,,,,,,,,,,-60,0,-60,-60,0
31,LR,1,50,10,-61,-59,-59,-60,-60,-61,-61,-58,-59,-57,-59.5,1.35400640077266,-57,-61,4
31,LR,1,50,5,-57,-57,-56,-57,-57,,,,,,-56.8,0.447213595499958,-56,-57,1
26,RL,1,50,3,-66,-66,-64,,,,,,,,-65.3333333333333,1.15470053837925,-64,-66,2
26,RL,1,50,4,-66,-64,-66,-66,,,,,,,-65.5,1,-64,-66,2
26,RL,1,50,7,-64,-66,-66,-78,-71,-68,-75,,,,-69.7142857142857,5.18698003705064,-64,-78,14
26,RL,0,50,2,-66,-66,,,,,,,,,-66,0,-66,-66,0
